User_ID,Session_Date,Device_Type,Add_to_Cart,Proceed_to_Checkout,Complete_Purchase,Drop_Reason
1,2024-11-10,Mobile,No,No,No,-
2,2024-11-27,Desktop,Yes,No,No,High Shipping Cost
3,2024-11-08,Tablet,Yes,No,No,High Shipping Cost
4,2024-11-28,Mobile,No,No,No,-
5,2024-11-23,Desktop,Yes,No,No,High Shipping Cost
6,2024-11-03,Mobile,Yes,No,No,High Shipping Cost
7,2024-11-20,Tablet,Yes,No,No,Limited Payment Options
8,2024-11-03,Mobile,Yes,Yes,Yes,-
9,2024-11-15,Mobile,Yes,Yes,Yes,-
10,2024-11-21,Mobile,Yes,Yes,Yes,-
11,2024-11-16,Desktop,No,No,No,-
12,2024-11-20,Mobile,Yes,Yes,Yes,-
13,2024-11-21,Desktop,Yes,No,No,Complex Checkout Process
14,2024-11-01,Desktop,No,No,No,-
15,2024-11-13,Tablet,Yes,No,No,Complex Checkout Process
16,2024-11-30,Tablet,Yes,Yes,Yes,-
17,2024-11-18,Desktop,No,No,No,-
18,2024-11-17,Mobile,No,No,No,-
19,2024-11-25,Mobile,No,No,No,-
20,2024-11-26,Mobile,No,No,No,-
21,2024-11-24,Desktop,Yes,Yes,No,High Shipping Cost
22,2024-11-22,Tablet,No,No,No,-
23,2024-11-21,Tablet,No,No,No,-
24,2024-11-15,Mobile,No,No,No,-
25,2024-11-26,Mobile,No,No,No,-
26,2024-11-03,Tablet,No,No,No,-
27,2024-11-18,Desktop,Yes,Yes,Yes,-
28,2024-11-24,Tablet,No,No,No,-
29,2024-11-15,Mobile,Yes,No,No,Complex Checkout Process
30,2024-11-01,Tablet,Yes,No,No,High Shipping Cost
31,2024-11-13,Mobile,Yes,Yes,No,Forced Account Creation
32,2024-11-28,Mobile,Yes,Yes,No,High Shipping Cost
33,2024-11-19,Tablet,Yes,No,No,Limited Payment Options
34,2024-11-26,Tablet,Yes,Yes,Yes,-
35,2024-11-29,Desktop,No,No,No,-
36,2024-11-06,Mobile,No,No,No,-
37,2024-11-29,Mobile,No,No,No,-
38,2024-11-28,Mobile,Yes,No,No,Complex Checkout Process
39,2024-11-07,Mobile,Yes,Yes,Yes,-
40,2024-11-17,Mobile,No,No,No,-
41,2024-11-27,Mobile,Yes,Yes,No,High Shipping Cost
42,2024-11-24,Tablet,Yes,Yes,No,High Shipping Cost
43,2024-11-08,Desktop,Yes,No,No,Not Ready to Buy
44,2024-11-09,Tablet,No,No,No,-
45,2024-11-29,Mobile,Yes,Yes,Yes,-
46,2024-11-13,Desktop,Yes,No,No,Limited Payment Options
47,2024-11-10,Desktop,Yes,Yes,Yes,-
48,2024-11-21,Desktop,No,No,No,-
49,2024-11-01,Mobile,No,No,No,-
50,2024-11-01,Tablet,Yes,Yes,Yes,-
